Record Date,Type of Account,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-01-07","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","07"
"2021-01-06","Federal Reserve Account","1607396","1600257","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","06"
"2021-01-06","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","06"
"2021-01-06","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","06"
"2021-01-05","Federal Reserve Account","1600257","1563361","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","05"
"2021-01-05","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","05"
"2021-01-05","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","05"
"2021-01-04","Federal Reserve Account","1563361","1728569","1728569","1781679","I","Operating Cash Balance","Type of account","1","2021","2","2021","1","01","04"
"2021-01-04","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","2","2021","1","01","04"
"2021-01-04","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","2","2021","1","01","04"
"2020-12-31","Federal Reserve Account","1728569","1613514","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","31"
"2020-12-31","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","31"
"2020-12-31","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","31"
"2020-12-30","Federal Reserve Account","1613514","1606627","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","30"
"2020-12-30","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","30"
"2020-12-30","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","30"
"2020-12-29","Federal Reserve Account","1606627","1611761","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","29"
"2020-12-29","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","29"
"2020-12-29","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","29"
"2020-12-28","Federal Reserve Account","1611761","1576370","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","28"
"2020-12-28","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","28"
"2020-12-28","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","28"
"2020-12-24","Federal Reserve Account","1576370","1583308","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","24"
"2020-12-24","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","24"
"2020-12-24","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","24"
"2020-12-23","Federal Reserve Account","1583308","1603478","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","23"
"2020-12-23","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","23"
"2020-12-23","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","23"
"2020-12-22","Federal Reserve Account","1603478","1609289","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","22"
"2020-12-22","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","22"
"2020-12-22","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","22"
"2020-12-21","Federal Reserve Account","1609289","1605924","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","21"
"2020-12-21","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","21"
"2020-12-21","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","21"
"2020-12-18","Federal Reserve Account","1605924","1603000","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","18"
"2020-12-18","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","18"
"2020-12-18","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","18"
"2020-12-17","Federal Reserve Account","1603000","1615873","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","17"
"2020-12-17","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","17"
"2020-12-17","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","17"
"2020-12-16","Federal Reserve Account","1615873","1620613","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","16"
"2020-12-16","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","16"
"2020-12-16","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","16"
"2020-12-15","Federal Reserve Account","1620613","1507694","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","15"
"2020-12-15","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","15"
"2020-12-15","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","15"
"2020-12-14","Federal Reserve Account","1507694","1491532","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","14"
"2020-12-14","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","14"
"2020-12-14","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","14"
"2020-12-11","Federal Reserve Account","1491532","1489111","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","11"
"2020-12-11","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","11"
"2020-12-11","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","11"
"2020-12-10","Federal Reserve Account","1489111","1502361","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","10"
"2020-12-10","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","10"
"2020-12-10","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","10"
"2020-12-09","Federal Reserve Account","1502361","1528113","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","09"
"2020-12-09","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","09"
"2020-12-09","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","09"
"2020-12-08","Federal Reserve Account","1528113","1542507","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","08"
"2020-12-08","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","08"
"2020-12-08","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","08"
"2020-12-07","Federal Reserve Account","1542507","1541553","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","07"
"2020-12-07","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","07"
"2020-12-07","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","07"
"2020-12-04","Federal Reserve Account","1541553","1542061","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","04"
"2020-12-04","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","04"
"2020-12-04","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","04"
"2020-12-03","Federal Reserve Account","1542061","1557239","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","03"
"2020-12-03","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","03"
"2020-12-03","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","03"
"2020-12-02","Federal Reserve Account","1557239","1559909","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","02"
"2020-12-02","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","02"
"2020-12-02","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","02"
"2020-12-01","Federal Reserve Account","1559909","1622986","1622986","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","12","01"
"2020-12-01","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","12","01"
"2020-12-01","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","12","01"
"2020-11-30","Federal Reserve Account","1622986","1497733","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","30"
"2020-11-30","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","30"
"2020-11-30","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","30"
"2020-11-27","Federal Reserve Account","1497733","1484036","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","27"
"2020-11-27","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","27"
"2020-11-27","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","27"
"2020-11-25","Federal Reserve Account","1484036","1508389","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","25"
"2020-11-25","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","25"
"2020-11-25","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","25"
"2020-11-24","Federal Reserve Account","1508389","1524043","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","24"
"2020-11-24","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","24"
"2020-11-24","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","24"
"2020-11-23","Federal Reserve Account","1524043","1523945","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","23"
"2020-11-23","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","23"
"2020-11-23","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","23"
"2020-11-20","Federal Reserve Account","1523945","1532201","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","20"
"2020-11-20","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","20"
"2020-11-20","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","20"
"2020-11-19","Federal Reserve Account","1532201","1546924","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","19"
"2020-11-19","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","19"
"2020-11-19","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","19"
"2020-11-18","Federal Reserve Account","1546924","1562437","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","18"
"2020-11-18","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","18"
"2020-11-18","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","18"
"2020-11-17","Federal Reserve Account","1562437","1583700","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","17"
"2020-11-17","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","17"
"2020-11-17","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","17"
"2020-11-16","Federal Reserve Account","1583700","1548695","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","16"
"2020-11-16","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","16"
"2020-11-16","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","16"
"2020-11-13","Federal Reserve Account","1548695","1559098","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","13"
"2020-11-13","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","13"
"2020-11-13","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","13"
"2020-11-12","Federal Reserve Account","1559098","1570768","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","12"
"2020-11-12","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","12"
"2020-11-12","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","12"
"2020-11-10","Federal Reserve Account","1570768","1613526","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","10"
"2020-11-10","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","10"
"2020-11-10","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","10"
"2020-11-09","Federal Reserve Account","1613526","1611360","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","09"
"2020-11-09","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","09"
"2020-11-09","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","09"
"2020-11-06","Federal Reserve Account","1611360","1616716","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","06"
"2020-11-06","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","06"
"2020-11-06","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","06"
"2020-11-05","Federal Reserve Account","1616716","1618568","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","05"
"2020-11-05","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","05"
"2020-11-05","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","05"
"2020-11-04","Federal Reserve Account","1618568","1618498","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","04"
"2020-11-04","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","04"
"2020-11-04","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","04"
"2020-11-03","Federal Reserve Account","1618498","1668478","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","03"
"2020-11-03","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","03"
"2020-11-03","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","03"
"2020-11-02","Federal Reserve Account","1668478","1598798","1598798","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","11","02"
"2020-11-02","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","11","02"
"2020-11-02","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","11","02"
"2020-10-30","Federal Reserve Account","1598798","1647480","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","30"
"2020-10-30","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","30"
"2020-10-30","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","30"
"2020-10-29","Federal Reserve Account","1647480","1653039","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","29"
"2020-10-29","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","29"
"2020-10-29","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","29"
"2020-10-28","Federal Reserve Account","1653039","1673293","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","28"
"2020-10-28","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","28"
"2020-10-28","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","28"
"2020-10-27","Federal Reserve Account","1673293","1690216","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","27"
"2020-10-27","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","27"
"2020-10-27","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","27"
"2020-10-26","Federal Reserve Account","1690216","1687789","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","26"
"2020-10-26","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","26"
"2020-10-26","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","26"
"2020-10-23","Federal Reserve Account","1687789","1686614","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","23"
"2020-10-23","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","23"
"2020-10-23","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","23"
"2020-10-22","Federal Reserve Account","1686614","1699497","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","22"
"2020-10-22","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","22"
"2020-10-22","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","22"
"2020-10-21","Federal Reserve Account","1699497","1718520","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","21"
"2020-10-21","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","21"
"2020-10-21","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","21"
"2020-10-20","Federal Reserve Account","1718520","1736903","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","20"
"2020-10-20","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","20"
"2020-10-20","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","20"
"2020-10-19","Federal Reserve Account","1736903","1731394","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","19"
"2020-10-19","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","19"
"2020-10-19","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","19"
"2020-10-16","Federal Reserve Account","1731394","1724441","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","16"
"2020-10-16","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","16"
"2020-10-16","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","16"
"2020-10-15","Federal Reserve Account","1724441","1647937","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","15"
"2020-10-15","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","15"
"2020-10-15","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","15"
"2020-10-14","Federal Reserve Account","1647937","1672917","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","14"
"2020-10-14","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","14"
"2020-10-14","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","14"
"2020-10-13","Federal Reserve Account","1672917","1688155","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","13"
"2020-10-13","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","13"
"2020-10-13","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","13"
"2020-10-09","Federal Reserve Account","1688155","1693511","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","09"
"2020-10-09","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","09"
"2020-10-09","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","09"
"2020-10-08","Federal Reserve Account","1693511","1687434","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","08"
"2020-10-08","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","08"
"2020-10-08","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","08"
"2020-10-07","Federal Reserve Account","1687434","1682129","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","07"
"2020-10-07","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","07"
"2020-10-07","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","07"
"2020-10-06","Federal Reserve Account","1682129","1699085","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","06"
"2020-10-06","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","06"
"2020-10-06","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","06"
"2020-10-05","Federal Reserve Account","1699085","1696491","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","05"
"2020-10-05","Supplementary Financing Program Account","0","0","0","0","I","Operating Cash Balance","Type of account","2","2021","1","2020","4","10","05"
"2020-10-05","Short-Term Cash Investments (Table V)","0","0","0","0","I","Operating Cash Balance","Type of account","3","2021","1","2020","4","10","05"
"2020-10-02","Federal Reserve Account","1696491","1721399","1781679","1781679","I","Operating Cash Balance","Type of account","1","2021","1","2020","4","10","02"
